"_time","artist_name",eventtype,"search_terms","bc_uri","track_name"
"1360368808.948083",,"ua-mobile-ipad",LMFAO,"/browse/search/LMFAO",
"1360368808.945860",,"ua-mobile-android",,"/ads/showbanner",
"1360368808.939115",,"ua-mobile-iphone",,"/sync/createplaylist",
"1360368806.935405",,"ua-mobile-android",,"/browse/home",
"1360368806.886419",Rihanna,"ua-mobile-blackberry",,"/browse/tracks/01011207201000005652000000000049","You Da One"
"1360368806.868352",,"ua-mobile-android",,"/auth/5558899235",
"1360368805.956702",,"ua-mobile-blackberry",,"/ads/showbanner",
"1360368805.937359","Toby Keith","ua-mobile-blackberry",,"/browse/tracks/01011207201000005652000000000083","Red Solo Cup"
"1360368805.919084",,"ua-mobile-android",,"/browse/artist/0026",
"1360368805.917081",,"ua-mobile-ipad",,"/sync/createplaylist",
"1360368805.899351",,"ua-mobile-android",,"/sync/createplaylist",
"1360368805.870885",,"ua-mobile-ipad","Foster+The+People","/browse/search/Foster+The+People",
"1360368804.896200","Gavin DeGraw","ua-mobile-android",,"/browse/tracks/01011207201000005652000000000084","Not Over You"
"1360368804.891341",,"ua-mobile-ipad",,"/playhistory/uploadhistory",
"1360368803.927577",,"ua-mobile-blackberry",,"/browse/artist/0012",
"1360368803.925046",Rihanna,"ua-mobile-android",,"/sync/addtolibrary/01011207201000005652000000000049","You Da One"
"1360368802.964016",,"ua-mobile-iphone",,"/playhistory/uploadhistory",
"1360368802.926535",,"ua-mobile-android","Bruno+Mars","/browse/search/Bruno+Mars",
"1360368802.907166",,"ua-mobile-android",,"/auth/5556625350",
"1360368802.902063","Bruno Mars","ua-mobile-ipad ua-mobile-iphone",,"/sync/addtolibrary/01011207201000005652000000000047","It Will Rain"
"1360368801.949173",,"ua-mobile-ipad","Big+Sean","/browse/search/Big+Sean",
"1360368800.881092",Rihanna,"ua-mobile-blackberry",,"/browse/tracks/01011207201000005652000000000021","We Found Love"
"1360368800.868391",,"ua-mobile-ipad ua-mobile-iphone",,"/ads/showbanner",
"1360368799.935397",,"ua-mobile-iphone",,"/browse/artist/001",
"1360368799.880141",,"ua-mobile-iphone",,"/auth/5558932732",
"1360368799.868619",,"ua-mobile-android",,"/browse/home",
"1360368798.914002",,"ua-mobile-ipad",,"/playhistory/uploadhistory",
"1360368798.900862","Flo Rida","ua-mobile-iphone",,"/sync/addtolibrary/01011207201000005652000000000018","Good Feeling"
"1360368797.962347","Luke Bryan","ua-mobile-iphone",,"/browse/tracks/01011207201000005652000000000014","I Don't Want This Night To End"
"1360368797.861032",,"ua-mobile-ipod",Rihanna,"/browse/search/Rihanna",
"1360368796.967348",,"ua-mobile-android","Luke+Bryan","/browse/search/Luke+Bryan",
"1360368796.958983",,"ua-mobile-iphone",,"/sync/addtolibrary/01011207201000005652000000000025",
"1360368796.947328",,"ua-mobile-iphone",,"/playhistory/uploadhistory",
"1360368796.915378",,"ua-mobile-ipad",,"/sync/createplaylist",
"1360368796.915219",,"ua-mobile-android",,"/browse/home",
"1360368796.876446",,"ua-mobile-blackberry",,"/ads/showbanner",
"1360368796.865056",,"ua-mobile-android",,"/browse/artist/0026",
"1360368795.947765",,"ua-mobile-blackberry",,"/ads/showbanner",
"1360368795.927621",,"ua-mobile-android",,"/browse/artist/0014",
"1360368795.875267",,"ua-mobile-iphone",,"/playhistory/uploadhistory",
"1360368794.916312",,"ua-mobile-blackberry",,"/playhistory/uploadhistory",
"1360368793.946443","Maroon 5","ua-mobile-android",,"/browse/tracks/01011207201000005652000000000053","Moves Like Jagger"
"1360368793.911945",,"ua-mobile-ipad",,"/playhistory/uploadhistory",
"1360368793.868637",,"ua-mobile-iphone",,"/sync/createplaylist",
"1360368792.959394",,"ua-mobile-iphone","Maroon+5","/browse/search/Maroon+5",
"1360368792.874771","T-Pain","ua-mobile-android",,"/sync/addtolibrary/01011207201000005652000000000023","5 0'Clock"
"1360368791.967880",,"ua-mobile-android","T-Pain","/browse/search/T-Pain",
"1360368791.938217",,"ua-mobile-android",,"/browse/artist/0032",
"1360368790.936608","David Guetta","ua-mobile-iphone",,"/browse/tracks/01011207201000005652000000000041","Without You"
"1360368790.913277",,"ua-mobile-iphone",,"/browse/home",
"1360368790.893197","Luke Bryan","ua-mobile-ipad",,"/browse/tracks/01011207201000005652000000000014","I Don't Want This Night To End"
